県名,電圧kV,No,送電線名,電圧,回線数,設備容量MW,運用容量値MW,運用容量制約要因,空容量_当該設備MW,空容量_上位系等考慮MW,N1電制_適用可否,N1電制_適用可能量MW,平常時出力制御の可能性,平常時出力制御_当該設備,平常時出力制御_上位系設備,備考
茨城県,154,30,送電線,66,2,68,39,熱容量,34,0,可,29,有り,-,送52，送50，送45,上位系（送45）による制約
茨城県,154,31,取手線,66,2,132,74,熱容量,60,0,可,58,有り,-,送52，送50，送45,上位系（送45）による制約
茨城県,154,32,筑波南線（常総系）,66,2,294,167,熱容量,132,0,可,127,有り,-,送52，送50，送45,上位系（送45）による制約
茨城県,154,33,東取手線,66,2,132,74,熱容量,66,0,可,58,有り,-,送52，送50，送45,上位系（送45）による制約
茨城県,154,34,守谷線,66,2,122,70,熱容量,61,0,可,52,有り,-,送52，送50，送45,上位系（送45）による制約
茨城県,154,35,送電線,66,2,34,24,熱容量,17,0,可,10,有り,-,送52，送50，送45,上位系（送45）による制約
茨城県,154,36,谷和原線１，２号,66,2,444,254,熱容量,189,0,可,21,有り,-,送52，送50，送45,上位系（送45）による制約
茨城県,154,37,岩井線,66,2,184,124,熱容量,0,0,可,60,有り,-,送52，送50，送45,上位系（送45）による制約
茨城県,154,38,筑波豊里線,66,2,120,71,熱容量,28,0,可,49,有り,-,送52，送50，送45,上位系（送茨城66kV37）による制 約
茨城県,154,39,テクノパーク豊里線,66,2,102,67,熱容量,51,0,可,35,有り,-,送52，送50，送45,上位系（送茨城66kV37）による制 約
茨城県,154,40,沓掛線,66,2,126,77,熱容量,21,0,可,49,有り,-,送52，送50，送45,上位系（送茨城66kV37）による制 約
茨城県,154,41,水海道線,66,2,184,104,熱容量,87,0,可,43,有り,-,送52，送50，送45,上位系（送45）による制約
茨城県,154,42,出口線,66,2,196,107,熱容量,91,0,可,7,有り,-,送52，送50，送45,上位系（送45）による制約
茨城県,154,43,飯沼川線,66,2,102,67,熱容量,18,0,可,8,有り,-,送52，送50，送45,上位系（送45）による制約
茨城県,154,44,稲敷線,66,2,444,254,熱容量,54,0,可,190,有り,-,送52，送50，送45，変茨城66k V3,上位系（変茨城66kV3）による制 約
茨城県,154,45,送電線,66,2,64,40,熱容量,32,0,可,24,有り,-,送52，送50，送45，変茨城66k V3,上位系（変茨城66kV3）による制 約
茨城県,154,46,江戸崎線,66,2,132,74,熱容量,0,0,可,16,有り,-,送52，送50，送45，変茨城66k V3,上位系（変茨城66kV3）による制 約
茨城県,154,47,送電線,66,2,-,-,-,40,0,-,-,有り,-,送52，送50，送45，変茨城66k V3,上位系（送茨城66kV46）による制 約
茨城県,154,48,幸田線,66,2,132,88,熱容量,16,0,可,44,有り,-,送52，送50，送45，変茨城66k V3,上位系（送茨城66kV46）による制 約
茨城県,154,49,角崎線,66,2,132,88,熱容量,21,0,可,44,有り,-,送52，送50，送45，変茨城66k V3,上位系（送茨城66kV46）による制 約
茨城県,154,50,筑波南線（筑波南系）,66,2,444,254,熱容量,54,0,可,168,有り,-,送52，送50，送45，変茨城66k V3,上位系（変茨城66kV3）による制 約
茨城県,154,51,送電線,66,2,132,88,熱容量,66,0,可,44,有り,-,送52，送50，送45，変茨城66k V3,上位系（変茨城66kV3）による制 約
茨城県,154,52,牛久線,66,2,102,57,熱容量,8,0,可,45,有り,-,送52，送50，送45，変茨城66k V3,上位系（変茨城66kV3）による制 約
茨城県,154,53,桂町線,66,2,444,254,熱容量,222,0,可,190,有り,-,送52，送50，送45，変茨城66k V3,上位系（変茨城66kV3）による制 約
茨城県,154,54,鹿島西部環線,66,2,95,95,熱容量,94,0,可,0,有り,-,送46，送39,抑制が必要となる設備には送47 含む 上位系（送39）による制約
茨城県,154,55,東深芝線,66,2,448,257,熱容量,154,0,可,187,有り,-,送46，送39,抑制が必要となる設備には送47 含む 上位系（送39）による制約
茨城県,154,56,奥野谷２号線,66,2,138,92,熱容量,51,0,可,46,有り,-,送46，送39,抑制が必要となる設備には送47 含む 上位系（送39）による制約
茨城県,154,57,波崎線,66,2,138,92,熱容量,0,0,可,23,有り,-,送46，送39,抑制が必要となる設備には送47 含む 上位系（送39）による制約
茨城県,154,58,土合線,66,2,236,160,熱容量,54,0,可,76,有り,-,送46，送39,抑制が必要となる設備には送47 含む 上位系（送39）による制約
茨城県,154,59,送電線,66,2,-,-,-,37,0,-,-,有り,-,送46，送39,◇ 抑制が必要となる設備には送47含む 上位系（送茨城66kV57）による制約
茨城県,154,60,松岸線,66,2,230,157,熱容量,97,0,可,73,有り,-,送46，送39,抑制が必要となる設備には送47 含む 上位系（送39）による制約
茨城県,154,61,湖南線１，２，３，４号,66,4,368,372,熱容量,45,0,可,0,有り,-,送46，送39,抑制が必要となる設備には送47 含む 上位系（送39）による制約
茨城県,154,62,平井線,66,2,118,67,熱容量,37,0,可,51,有り,-,送46，送39,抑制が必要となる設備には送47含む 上位系（送茨城66kV63）による制約
茨城県,154,63,船津線,66,2,156,89,熱容量,0,0,可,67,有り,-,送46，送39,抑制が必要となる設備には送47 含む 上位系（送39）による制約
茨城県,154,64,送電線,66,2,-,-,-,45,0,-,-,有り,-,送46，送39,◇ 抑制が必要となる設備には送47含む 上位系（送茨城66kV63）による制約
茨城県,154,65,山方線,66,2,290,161,熱容量,0,0,可,26,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む 上位系（送茨城154kV7）による制約
茨城県,154,66,孫目線,66,2,132,74,熱容量,38,0,可,58,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む 上位系（変茨城66kV6）による制約
茨城県,154,67,送電線,66,2,102,57,熱容量,44,0,可,0,有り,-,変2，送11，変茨城154kV1,◇ 抑制が必要となる設備には変4含む 上 位系（変茨城66kV6）による制約
茨城県,154,68,勝田線,66,2,372,212,熱容量,143,0,可,160,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む 上位系（変茨城66kV6）による制約
茨城県,154,69,青柳線,66,2,444,254,熱容量,163,0,可,190,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む 上位系（変茨城66kV6）による制約
茨城県,154,70,長砂線,66,2,124,73,熱容量,36,0,可,51,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む 上位系（変茨城66kV6）による制約
茨城県,154,71,湊線,66,2,102,57,熱容量,43,0,可,45,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む 上位系（変茨城66kV6）による制約
茨城県,154,72,大洗線,66,2,102,57,熱容量,16,0,可,45,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む 上位系（変茨城66kV6）による制約
茨城県,154,73,送電線,66,2,-,-,-,37,0,-,-,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む 上位系（変茨城66kV6）による制約
茨城県,154,74,常澄線,66,2,132,74,熱容量,0,0,可,58,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む 上位系（変茨城66kV6）による制約
茨城県,154,75,酒門東線,66,2,132,88,熱容量,32,0,可,44,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む 上位系（送茨城66kV74）による制約
茨城県,154,76,常陸海浜線,66,2,132,109,熱容量,66,0,可,23,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む 上位系（変茨城66kV6）による制約
茨城県,154,77,常陸那珂工団線,66,2,132,74,熱容量,58,0,可,58,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む 上位系（変茨城66kV6）による制約
茨城県,154,78,送電線,66,2,98,57,熱容量,49,0,可,41,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む 上位系（変茨城66kV6）による制約
茨城県,154,79,北見線,66,2,132,74,熱容量,66,0,可,58,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む 上位系（送茨城154kV2）による制約
茨城県,154,80,水戸南町線,66,2,84,93,熱容量,42,0,可,0,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む 上位系（変茨城66kV6）による制約
茨城県,154,81,飯田線,66,2,184,104,熱容量,22,0,可,80,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む 上位系（変茨城66kV6）による制約
茨城県,154,82,送電線,66,1,60,34,熱容量,1,0,不可 ♯２,-,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む 上位系（変茨城66kV6）による制約
茨城県,154,83,送電線,66,2,106,60,熱容量,53,0,可,46,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む 上位系（変茨城66kV6）による制約
茨城県,154,84,赤塚線,66,2,66,66,熱容量,24,0,可,0,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む 上位系（送茨城154kV2）による制約
茨城県,154,85,岩間線,66,2,132,74,熱容量,5,0,可,58,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む 上位系（送茨城154kV2）による制約
茨城県,154,86,見川線,66,2,132,78,熱容量,24,0,可,54,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む 上位系（送茨城154kV2）による制約
茨城県,154,87,岩間工団線,66,2,102,57,熱容量,51,0,可,45,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む 上位系（送茨城154kV2）による制約
茨城県,154,88,水戸線,66,2,72,40,熱容量,4,0,可,32,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む 上位系（送茨城154kV2）による制約
茨城県,154,89,友部線,66,2,132,74,熱容量,0,0,可,58,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む 上位系（送茨城154kV2）による制約
茨城県,154,90,送電線,66,2,-,-,-,41,0,-,-,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む 上位系（送茨城154kV2）による制約
茨城県,154,91,送電線,66,2,-,-,-,66,0,-,-,有り,-,変2，送11，変茨城154kV1,◇ 抑制が必要となる設備には変4含む 上 位系（変茨城66kV8）による制約
茨城県,154,92,美野里線,66,2,132,74,熱容量,0,0,可,58,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む 上位系（変茨城66kV8）による制約
茨城県,154,93,柏原工団線,66,2,132,74,熱容量,66,0,可,58,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む 上位系（変茨城66kV8）による制約
茨城県,154,94,送電線,66,2,184,92,熱容量,92,0,可,92,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む 上位系（変茨城66kV8）による制約
茨城県,154,95,鉾田線,66,2,132,74,熱容量,0,0,可,0,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む 上位系（変茨城66kV8）による制約
茨城県,154,96,高浜線,66,2,86,48,熱容量,43,0,可,38,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む 上位系（変茨城66kV8）による制約
茨城県,154,97,貝地線,66,2,102,57,熱容量,22,0,可,45,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む 上位系（変茨城66kV8）による制約
茨城県,154,98,送電線,66,2,102,57,熱容量,51,0,可,45,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む 上位系（送茨城66kV95）による制約
茨城県,154,99,上山線,66,2,132,74,熱容量,0,0,可,58,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む 上位系（送茨城66kV95）による制約
茨城県,154,100,北浦線,66,2,132,88,熱容量,0,0,可,0,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む 上位系（送茨城66kV95）による制約
茨城県,154,101,送電線,66,2,-,-,-,51,0,-,-,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む 上位系（変茨城66kV8）による制約
茨城県,154,102,送電線,66,2,102,57,熱容量,51,0,可,45,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む 上位系（変茨城66kV8）による制約
茨城県,154,103,出島線,66,2,92,92,熱容量,0,0,可,0,有り,-,送52，変4,抑制が必要となる設備には変2、送11含む 上位系（送茨城66kV108）による制約
茨城県,154,104,送電線,66,2,102,57,熱容量,51,0,可,45,有り,-,送52，変4,抑制が必要となる設備には変2、送11含む 上位系（送茨城66kV103）による制約
茨城県,154,105,送電線,66,2,-,-,-,42,0,-,-,有り,-,送52，変4,抑制が必要となる設備には変2、送11含む 上位系（送茨城66kV103）による制約
茨城県,154,106,木田余線,66,2,132,74,熱容量,37,0,可,58,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む 上位系（変茨城66kV8）による制約
茨城県,154,107,千代田工団線,66,2,102,57,熱容量,51,0,可,45,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む 上位系（変茨城66kV8）による制約
茨城県,154,108,神立線,66,2,184,124,熱容量,0,0,可,0,有り,-,送52，変4,抑制が必要となる設備には変2、送11含む 上位系（変茨城66kV9）による制約
茨城県,154,109,中神立線,66,2,86,48,熱容量,43,0,可,38,有り,-,送52，変4,抑制が必要となる設備には変2、送11含む 上位系（送茨城66kV108）による制約
茨城県,154,110,土浦線,66,2,294,167,熱容量,147,0,可,127,有り,-,変2，送11，変茨城154kV1,抑制が必要となる設備には変4含む 上位系（変茨城66kV8）による制約
茨城県,154,111,立の越線,66,2,184,104,熱容量,84,0,可,80,有り,-,送52，送50，送45，変茨城66k V3,上位系（変茨城66kV3）による制 約
茨城県,154,112,送電線,66,2,102,57,熱容量,51,0,可,45,有り,-,送52，送50，送45，変茨城66k V3,上位系（変茨城66kV3）による制 約
茨城県,154,113,福田線,66,2,132,88,熱容量,22,0,可,44,有り,-,送52，送50，送45，変茨城66k V3,上位系（変茨城66kV3）による制 約
茨城県,154,114,阿見線,66,2,132,88,熱容量,18,0,可,44,有り,-,送52，送50，送45，変茨城66k V3,上位系（変茨城66kV3）による制 約
茨城県,154,115,霞ヶ浦線,66,2,184,104,熱容量,92,0,可,80,有り,-,送52，変4,抑制が必要となる設備には変2、送11含む 上位系（変茨城66kV9）による制約
茨城県,154,116,学園中線,66,2,102,67,熱容量,51,0,可,6,有り,-,送52，変4,抑制が必要となる設備には変2、送11含む 上位系（変茨城66kV9）による制約
茨城県,154,117,大穂線,66,2,184,124,熱容量,0,0,可,31,有り,-,送52，変4,抑制が必要となる設備には変2、送11含む 上位系（変茨城66kV9）による制約
茨城県,154,118,筑波線,66,2,222,222,熱容量,0,0,可,0,有り,-,送52，変4,抑制が必要となる設備には変2、送11含む 上位系（変茨城66kV9）による制約
茨城県,154,119,送電線,66,2,68,41,熱容量,34,0,可,27,有り,-,送52，変4,抑制が必要となる設備には変2、送11含む 上位系（送茨城66kV117）による制約
茨城県,154,120,大砂線,66,2,120,72,熱容量,0,0,可,48,有り,-,送52，変4,抑制が必要となる設備には変2、送11含む 上位系（送茨城66kV117）による制約
茨城県,154,121,送電線,66,1,-,-,-,20,0,-,-,有り,-,送52，変4,◇ 抑制が必要となる設備には変2、送11含 む 上位系（送茨城66kV120）による制約
茨城県,154,122,明野線,66,2,132,74,熱容量,0,0,可,58,有り,-,送52，変4,抑制が必要となる設備には変2、送11含む 上位系（送茨城66kV118）による制約
茨城県,154,123,真壁線,66,2,132,74,熱容量,2,0,可,58,有り,-,送52，変4,抑制が必要となる設備には変2、送11含む 上位系（送茨城66kV122）による制約
茨城県,154,124,筑館線（筑館系）,66,2,132,88,熱容量,0,0,可,44,有り,-,送52，変4,抑制が必要となる設備には変2、送11含む 上位系（変茨城66kV9）による制約
茨城県,154,125,筑館線（筑波系）,66,2,132,88,熱容量,0,0,可,18,有り,-,送52，変4,抑制が必要となる設備には変2、送11含む 上位系（送茨城66kV118）による制約
茨城県,154,126,岩瀬線,66,2,132,74,熱容量,6,0,可,20,有り,-,送52，変4,抑制が必要となる設備には変2、送11含む 上位系（送栃木154kV12）による制約
茨城県,154,127,下館線,66,2,136,77,熱容量,11,0,可,45,有り,-,送52，変4,抑制が必要となる設備には変2、送11含む 上位系（送栃木154kV12）による制約
茨城県,154,128,送電線,66,2,102,57,熱容量,51,0,可,45,有り,-,送52，変4,抑制が必要となる設備には変2、送11含む 上位系（送栃木154kV12）による制約
茨城県,154,129,送電線,66,2,102,57,熱容量,51,0,可,45,有り,-,送52，変4,抑制が必要となる設備には変2、送11含む 上位系（送栃木154kV12）による制約
茨城県,154,130,送電線,66,2,102,57,熱容量,51,0,可,45,有り,-,送52，変4,抑制が必要となる設備には変2、送11含む 上位系（送栃木154kV12）による制約
茨城県,154,131,三和線（小山系）,66,2,444,254,熱容量,189,0,可,190,有り,-,送52，変4,抑制が必要となる設備には変2、送11含む 上位系（送栃木154kV12）による制約
茨城県,154,132,山西線,66,2,106,69,熱容量,53,0,可,37,有り,-,送52，変4,抑制が必要となる設備には変2、送11含む 上位系（送栃木154kV12）による制約
茨城県,154,133,南結城線,66,2,102,67,熱容量,17,0,可,35,有り,-,送52，変4,抑制が必要となる設備には変2、送11含む 上位系（送栃木154kV12）による制約
茨城県,154,134,結城工団線,66,2,102,57,熱容量,51,0,可,45,有り,-,送52，変4,抑制が必要となる設備には変2、送11含む 上位系（送栃木154kV12）による制約
茨城県,154,135,西山工団八千代線,66,2,38,30,熱容量,19,0,可,8,有り,-,送52，変4,抑制が必要となる設備には変2、送11含む 上位系（送栃木154kV12）による制約
茨城県,154,136,三和線（総和系）,66,2,444,254,熱容量,222,0,可,190,有り,-,送52，変4,抑制が必要となる設備には変2、送11 含む 上位系（変4）による制約
茨城県,154,137,送電線,66,2,102,57,熱容量,51,0,可,45,有り,-,送52，変4,抑制が必要となる設備には変2、送11 含む 上位系（変4）による制約
茨城県,154,138,丘里線,66,2,102,57,熱容量,51,0,可,45,有り,-,送52，変4,抑制が必要となる設備には変2、送11 含む 上位系（変4）による制約
茨城県,154,139,総和線,66,2,132,74,熱容量,14,0,可,58,有り,-,送52，変4,抑制が必要となる設備には変2、送11 含む 上位系（変4）による制約
茨城県,154,140,向古河線,66,2,30,22,熱容量,15,0,可,8,有り,-,送52，変4,抑制が必要となる設備には変2、送11 含む 上位系（変4）による制約
茨城県,154,141,南古河線,66,2,132,74,熱容量,50,0,可,58,有り,-,送52，変4,抑制が必要となる設備には変2、送11 含む 上位系（変4）による制約
茨城県,154,142,送電線,66,2,102,57,熱容量,51,0,可,45,有り,-,送52，変4,抑制が必要となる設備には変2、送11 含む 上位系（変4）による制約
茨城県,154,143,北利根線,66,2,106,69,熱容量,35,0,可,0,有り,-,送52，変4,抑制が必要となる設備には変2、送11含む 上位系（送栃木154kV12）による制約
茨城県,154,144,猿島線,66,2,146,82,熱容量,28,0,可,64,有り,-,送52，変4,抑制が必要となる設備には変2、送11含む 上位系（送栃木154kV12）による制約
茨城県,66,145,谷和原線３，４号,66,2,444,254,熱容量,186,0,可,190,有り,-,送52，送50，送45,上位系（送45）による制約
茨城県,66,146,高萩西線,66,2,66,66,熱容量,9,0,可,0,有り,-,変2，送11，変茨城66kV1,抑制が必要となる設備には変4含む 上位系（変茨城66kV1）による制約
